Location,Total Land Area (acres),Number of Cows,Farm Size,Date,Product ID,Product Name,Brand,Quantity (liters/kg),Price per Unit,Total Value,Shelf Life (days),Storage Condition,Production Date,Expiration Date,Quantity Sold (liters/kg),Price per Unit (sold),Approx. Total Revenue(INR),Customer Location,Sales Channel,Quantity in Stock (liters/kg),Minimum Stock Threshold (liters/kg),Reorder Quantity (liters/kg)
Bihar,144.38,112,Large,2024-10-19,10,Ghee,Passion Cheese,438.76,99.9,43832.12,38,Frozen,2024-10-01,2024-11-08,255.07,107.82,27501.65,Maharashtra,Online,183.69,62.2,29.58
Jharkhand,36.88,24,Large,2024-02-23,4,Yogurt,Passion Cheese,751.0,70.33,52817.83,53,Frozen,2024-01-09,2024-03-02,671.8,74.17,49827.41,Delhi,Wholesale,79.2,17.27,157.5
Delhi,85.97,43,Large,2019-08-10,2,Butter,Britannia Industries,507.49,14.33,7272.33,53,Polythene Packet,2019-07-16,2019-09-07,474.13,15.02,7121.43,Chandigarh,Wholesale,33.36,55.76,55.79
West Bengal,543.01,70,Medium,2022-03-06,9,Paneer,Amul,373.14,38.25,14272.6,149,Ambient,2022-01-08,2022-06-06,27.96,41.99,1174.04,Tamil Nadu,Wholesale,345.18,61.3,77.64
Delhi,573.41,107,Small,2023-08-14,8,Buttermilk,Mother Dairy,633.51,33.15,21000.86,89,Frozen,2023-07-11,2023-10-08,211.29,35.02,7399.38,Bihar,Online,422.22,27.93,52.36
West Bengal,291.36,98,Small,2021-03-25,5,Ice Cream,Mother Dairy,769.47,97.87,75308.03,3,Ambient,2021-03-16,2021-03-19,329.99,96.55,31860.53,Rajasthan,Wholesale,439.48,60.82,119.84
Maharashtra,234.86,95,Medium,2022-03-06,4,Yogurt,Britannia Industries,148.9,14.05,2092.05,76,Polythene Packet,2022-01-17,2022-04-03,123.14,15.36,1891.43,Uttar Pradesh,Retail,25.76,22.56,84.23
Telangana,486.04,86,Large,2021-04-06,3,Cheese,Britannia Industries,34.94,46.39,1620.87,16,Tetra Pack,2021-03-22,2021-04-07,32.11,46.34,1487.98,Kerala,Wholesale,2.83,76.27,132.05
Kerala,229.75,79,Medium,2022-10-27,7,Lassi,Sudha,702.59,68.94,48436.55,113,Refrigerated,2022-09-11,2023-01-02,161.63,74.01,11962.24,West Bengal,Online,540.96,71.45,38.29
Madhya Pradesh,835.62,26,Small,2019-08-01,8,Buttermilk,Sudha,430.01,76.79,33020.47,108,Refrigerated,2019-06-23,2019-10-09,280.25,80.46,22548.91,Kerala,Online,149.76,51.54,153.96
Bihar,178.98,27,Small,2021-10-14,7,Lassi,Passion Cheese,384.42,33.78,12985.71,59,Tetra Pack,2021-09-06,2021-11-04,206.4,35.12,7248.77,Telangana,Online,178.02,34.76,88.64
Uttar Pradesh,529.43,86,Small,2024-06-14,7,Lassi,Britannia Industries,561.65,84.91,47689.7,34,Ambient,2024-04-24,2024-05-28,553.69,76.68,42456.95,Jharkhand,Retail,7.96,10.36,59.0
Chandigarh,528.09,75,Small,2019-01-13,7,Lassi,Sudha,548.4,18.53,10161.85,118,Tetra Pack,2018-11-27,2019-03-25,422.97,19.69,8328.28,Bihar,Wholesale,125.43,63.53,186.74
Gujarat,145.39,86,Medium,2021-09-05,9,Paneer,Britannia Industries,350.19,26.95,9437.62,120,Frozen,2021-09-04,2022-01-02,86.28,28.85,2489.18,Tamil Nadu,Retail,263.91,8.93,26.01
Jharkhand,532.54,43,Small,2019-11-30,4,Yogurt,Dynamix Dairies,454.51,86.62,39369.66,105,Ambient,2019-10-29,2020-02-11,393.96,83.12,32745.96,West Bengal,Wholesale,60.55,12.12,186.61
Jharkhand,199.14,28,Small,2021-01-09,10,Ghee,Raj,59.88,57.59,3448.49,46,Ambient,2020-11-12,2020-12-28,19.65,56.48,1109.83,Delhi,Online,40.23,53.23,123.0
Kerala,302.87,30,Medium,2023-10-07,8,Buttermilk,Dodla Dairy,347.5,97.9,34020.25,59,Refrigerated,2023-09-19,2023-11-17,328.47,88.3,29003.9,West Bengal,Online,19.03,7.5,186.39
Karnataka,514.43,83,Large,2021-02-23,1,Milk,Raj,608.16,85.24,51839.56,102,Ambient,2020-12-28,2021-04-09,26.68,84.93,2265.93,Maharashtra,Retail,581.48,11.51,29.26
Maharashtra,703.47,55,Large,2020-01-19,5,Ice Cream,Dynamix Dairies,103.07,64.52,6650.08,118,Ambient,2019-12-23,2020-04-19,34.19,61.75,2111.23,Telangana,Online,68.88,89.35,88.79
Kerala,213.33,43,Large,2021-04-09,3,Cheese,Passion Cheese,435.06,25.5,11094.03,141,Ambient,2021-02-11,2021-07-02,297.23,26.2,7787.43,Bihar,Retail,137.83,83.08,146.64
Bihar,190.36,92,Small,2024-01-24,3,Cheese,Dodla Dairy,618.06,78.69,48635.14,67,Ambient,2024-01-08,2024-03-15,283.99,79.01,22438.05,Kerala,Online,334.07,29.32,38.25
Haryana,190.16,32,Medium,2019-01-30,6,Curd,Britannia Industries,513.52,35.06,18004.01,54,Refrigerated,2019-01-03,2019-02-26,500.58,38.2,19122.16,Tamil Nadu,Retail,12.94,45.99,122.14
Uttar Pradesh,421.3,102,Small,2019-04-01,9,Paneer,Britannia Industries,875.34,76.72,67156.08,25,Tetra Pack,2019-02-14,2019-03-11,317.06,73.12,23183.43,Tamil Nadu,Online,558.28,28.05,110.52
Uttar Pradesh,802.29,119,Large,2022-07-31,1,Milk,Passion Cheese,855.68,30.88,26423.4,76,Ambient,2022-07-15,2022-09-29,489.36,31.67,15498.03,Karnataka,Online,366.32,8.9,115.6
Gujarat,548.2,117,Large,2020-05-09,6,Curd,Amul,180.34,63.87,11518.32,122,Tetra Pack,2020-03-27,2020-07-27,142.01,65.38,9284.61,Telangana,Retail,38.33,56.85,84.53
Maharashtra,591.28,72,Large,2022-05-26,9,Paneer,Mother Dairy,188.61,74.39,14030.7,67,Ambient,2022-05-16,2022-07-22,174.79,70.65,12348.91,Rajasthan,Online,13.82,98.23,182.28
Madhya Pradesh,424.89,94,Small,2024-03-20,8,Buttermilk,Mother Dairy,784.16,93.28,73146.44,98,Refrigerated,2024-02-08,2024-05-16,543.98,90.73,49355.31,Telangana,Retail,240.18,77.66,107.85
Bihar,753.24,72,Small,2022-12-12,3,Cheese,Dodla Dairy,610.62,92.32,56372.44,106,Tetra Pack,2022-11-20,2023-03-06,12.64,90.68,1146.2,Rajasthan,Online,597.98,32.88,59.38
Madhya Pradesh,679.34,26,Large,2022-06-12,3,Cheese,Passion Cheese,739.05,71.8,53063.79,28,Tetra Pack,2022-05-10,2022-06-07,235.54,78.04,18381.54,Maharashtra,Online,503.51,30.91,127.32
Tamil Nadu,372.46,83,Small,2022-04-03,2,Butter,Britannia Industries,516.87,10.25,5297.92,149,Polythene Packet,2022-02-25,2022-07-24,51.11,10.69,546.37,West Bengal,Wholesale,465.76,81.41,195.73
Karnataka,77.06,111,Small,2021-03-30,1,Milk,Britannia Industries,73.81,59.6,4399.08,46,Refrigerated,2021-02-06,2021-03-24,39.34,55.4,2179.44,Telangana,Retail,34.47,64.82,32.35
Jharkhand,348.81,47,Large,2019-10-26,5,Ice Cream,Amul,124.39,24.51,3048.8,119,Frozen,2019-09-10,2020-01-07,67.93,26.25,1783.16,Telangana,Retail,56.46,39.31,101.28
Chandigarh,797.14,109,Medium,2019-12-16,8,Buttermilk,Britannia Industries,434.25,60.96,26471.88,13,Ambient,2019-12-02,2019-12-15,311.91,65.14,20317.82,Gujarat,Wholesale,122.34,9.56,30.71
Maharashtra,853.25,48,Medium,2023-07-31,3,Cheese,Britannia Industries,522.01,35.22,18385.19,140,Frozen,2023-06-07,2023-10-25,144.77,32.63,4723.85,Gujarat,Retail,377.24,55.47,106.56
Gujarat,294.08,120,Medium,2019-10-25,4,Yogurt,Passion Cheese,119.98,75.08,9008.1,131,Polythene Packet,2019-10-16,2020-02-24,23.81,76.36,1818.13,Uttar Pradesh,Online,96.17,60.5,147.56
Gujarat,44.84,89,Large,2023-04-18,6,Curd,Sudha,460.56,35.11,16170.26,124,Ambient,2023-03-11,2023-07-13,386.14,33.75,13032.23,Uttar Pradesh,Online,74.42,81.63,101.0
Karnataka,95.31,60,Large,2021-10-05,6,Curd,Passion Cheese,68.46,37.95,2598.06,97,Polythene Packet,2021-09-17,2021-12-23,46.73,35.09,1639.76,Haryana,Online,21.73,86.35,58.02
Bihar,667.65,107,Small,2020-07-05,1,Milk,Dynamix Dairies,683.66,87.83,60045.86,118,Frozen,2020-05-07,2020-09-02,401.84,87.17,35028.39,Telangana,Wholesale,281.82,27.35,50.28
Tamil Nadu,345.11,73,Medium,2021-07-19,4,Yogurt,Britannia Industries,538.6,79.62,42883.33,107,Polythene Packet,2021-06-27,2021-10-12,135.41,75.52,10226.16,Gujarat,Retail,403.19,62.15,51.07
Rajasthan,536.79,58,Large,2022-11-24,9,Paneer,Sudha,122.79,91.6,11247.56,112,Refrigerated,2022-10-01,2023-01-21,62.17,93.27,5798.6,Madhya Pradesh,Online,60.62,10.09,22.71
Rajasthan,649.53,39,Medium,2020-10-22,4,Yogurt,Dynamix Dairies,664.1,86.2,57245.42,70,Tetra Pack,2020-10-19,2020-12-28,148.36,78.09,11585.43,Telangana,Wholesale,515.74,75.9,113.05
Jharkhand,90.66,72,Small,2020-09-28,1,Milk,Raj,953.69,50.41,48075.51,94,Tetra Pack,2020-09-11,2020-12-14,903.27,55.15,49815.34,Rajasthan,Online,50.42,19.88,35.31
Chandigarh,626.85,52,Small,2021-01-13,6,Curd,Britannia Industries,198.63,67.03,13314.17,140,Ambient,2020-11-27,2021-04-16,158.28,68.34,10816.86,Karnataka,Retail,40.35,33.37,43.25
Madhya Pradesh,374.55,35,Medium,2021-02-09,10,Ghee,Amul,695.8,72.22,50250.68,127,Frozen,2021-01-24,2021-05-31,11.54,79.13,913.16,Telangana,Retail,684.26,13.74,193.57
Chandigarh,830.42,28,Large,2020-04-22,4,Yogurt,Sudha,567.73,38.15,21658.9,142,Frozen,2020-02-28,2020-07-19,115.62,37.29,4311.47,Jharkhand,Wholesale,452.11,83.52,186.91
Madhya Pradesh,602.38,46,Small,2022-11-07,8,Buttermilk,Dynamix Dairies,936.43,40.52,37944.14,91,Ambient,2022-09-24,2022-12-24,144.69,38.85,5621.21,Bihar,Retail,791.74,16.91,147.69
Chandigarh,234.02,114,Small,2023-10-09,10,Ghee,Dynamix Dairies,711.44,16.8,11952.19,59,Polythene Packet,2023-08-11,2023-10-09,346.48,16.26,5633.76,Kerala,Retail,364.96,8.69,165.35
Uttar Pradesh,629.17,51,Small,2023-05-30,5,Ice Cream,Sudha,88.54,64.01,5667.45,29,Tetra Pack,2023-03-31,2023-04-29,36.13,59.47,2148.65,Telangana,Retail,52.41,74.33,144.02
Bihar,555.4,56,Small,2020-06-30,4,Yogurt,Mother Dairy,438.24,91.98,40309.32,101,Refrigerated,2020-05-26,2020-09-04,61.31,98.14,6016.96,Jharkhand,Retail,376.93,50.32,184.1
Telangana,684.62,35,Small,2021-01-22,5,Ice Cream,Amul,398.69,81.63,32545.06,27,Tetra Pack,2021-01-12,2021-02-08,107.66,81.51,8775.37,Madhya Pradesh,Retail,291.03,96.94,21.1
Haryana,55.88,49,Small,2023-10-05,4,Yogurt,Amul,616.62,87.09,53701.44,31,Ambient,2023-08-19,2023-09-19,306.82,80.3,24637.65,Jharkhand,Retail,309.8,9.79,113.61
Uttar Pradesh,761.38,99,Small,2019-08-06,5,Ice Cream,Amul,615.83,96.32,59316.75,86,Ambient,2019-07-19,2019-10-13,66.28,91.43,6059.98,Kerala,Online,549.55,70.37,25.29
Kerala,412.21,24,Small,2024-01-21,1,Milk,Amul,173.76,22.15,3848.78,76,Ambient,2024-01-17,2024-04-02,165.79,20.33,3370.51,Gujarat,Online,7.97,14.85,70.63
Tamil Nadu,251.15,55,Medium,2019-08-18,4,Yogurt,Mother Dairy,987.58,82.71,81682.74,150,Frozen,2019-08-13,2020-01-10,906.9,82.36,74692.28,Delhi,Wholesale,80.68,23.92,172.39
Kerala,216.02,54,Small,2019-10-20,8,Buttermilk,Britannia Industries,336.96,52.29,17619.64,118,Tetra Pack,2019-10-16,2020-02-11,295.8,54.52,16127.02,Maharashtra,Online,41.16,13.56,47.39
Madhya Pradesh,239.56,58,Medium,2020-09-05,4,Yogurt,Mother Dairy,249.15,49.76,12397.7,137,Frozen,2020-07-22,2020-12-06,245.72,48.6,11941.99,Maharashtra,Wholesale,3.43,63.36,141.91
Jharkhand,316.5,25,Small,2019-10-16,8,Buttermilk,Passion Cheese,233.09,51.48,11999.47,87,Refrigerated,2019-10-03,2019-12-29,199.64,49.65,9912.13,Tamil Nadu,Retail,33.45,25.56,169.56
Uttar Pradesh,76.82,97,Small,2022-08-26,1,Milk,Mother Dairy,178.2,84.96,15139.87,142,Tetra Pack,2022-07-07,2022-11-26,126.42,80.37,10160.38,Uttar Pradesh,Online,51.78,90.23,148.28
Jharkhand,525.86,21,Large,2023-02-07,6,Curd,Dynamix Dairies,298.36,65.83,19641.04,20,Ambient,2022-12-10,2022-12-30,53.68,68.5,3677.08,Kerala,Online,244.68,77.94,168.98
Delhi,797.66,30,Small,2024-03-06,8,Buttermilk,Raj,418.49,76.62,32064.7,58,Ambient,2024-02-12,2024-04-10,3.65,71.75,261.89,Tamil Nadu,Retail,414.84,23.19,152.39
Haryana,668.42,31,Small,2019-03-05,3,Cheese,Passion Cheese,549.26,18.64,10238.21,28,Polythene Packet,2019-01-25,2019-02-22,186.79,20.48,3825.46,Karnataka,Online,362.47,14.37,161.23
Telangana,741.03,74,Small,2019-07-25,2,Butter,Sudha,719.83,50.29,36200.25,118,Tetra Pack,2019-06-01,2019-09-27,27.57,54.09,1491.26,Bihar,Wholesale,692.26,35.97,160.18
Bihar,94.96,57,Medium,2023-09-09,7,Lassi,Sudha,824.95,42.92,35406.85,78,Tetra Pack,2023-07-22,2023-10-08,511.62,41.09,21022.47,Rajasthan,Retail,313.33,14.92,151.31
West Bengal,20.98,48,Medium,2024-03-22,1,Milk,Passion Cheese,535.99,21.82,11695.3,115,Frozen,2024-02-10,2024-06-04,326.93,20.74,6780.53,Gujarat,Online,209.06,73.69,79.67
Delhi,362.06,96,Small,2024-07-12,10,Ghee,Sudha,838.58,66.2,55514.0,1,Polythene Packet,2024-06-24,2024-06-25,540.41,69.41,37509.86,Uttar Pradesh,Wholesale,298.17,63.26,63.28
Karnataka,91.07,63,Large,2024-12-30,9,Paneer,Raj,863.31,70.36,60742.49,149,Tetra Pack,2024-12-11,2025-05-09,543.56,72.88,39614.65,Tamil Nadu,Wholesale,319.75,22.24,46.26
Tamil Nadu,777.87,112,Small,2019-02-04,9,Paneer,Dynamix Dairies,950.07,42.23,40121.46,90,Refrigerated,2019-01-19,2019-04-19,346.36,45.16,15641.62,Chandigarh,Online,603.71,73.92,26.0
Gujarat,194.81,59,Medium,2022-09-01,4,Yogurt,Dynamix Dairies,965.32,97.2,93829.1,109,Refrigerated,2022-07-31,2022-11-17,171.67,91.05,15630.55,Gujarat,Retail,793.65,23.4,57.64
Kerala,415.48,88,Large,2024-07-16,8,Buttermilk,Dynamix Dairies,548.52,20.25,11107.53,13,Refrigerated,2024-06-25,2024-07-08,548.05,21.05,11536.45,Madhya Pradesh,Online,0.47,77.62,119.9
Bihar,448.04,88,Small,2021-10-29,6,Curd,Sudha,958.27,55.16,52858.17,31,Frozen,2021-09-14,2021-10-15,865.88,56.2,48662.46,Gujarat,Online,92.39,50.01,123.95
Madhya Pradesh,139.25,30,Small,2020-06-24,1,Milk,Sudha,166.85,30.49,5087.26,75,Frozen,2020-06-11,2020-08-25,113.17,28.49,3224.21,Uttar Pradesh,Retail,53.68,44.41,127.6
Maharashtra,804.08,64,Medium,2019-10-12,1,Milk,Britannia Industries,693.63,34.84,24166.07,122,Ambient,2019-08-28,2019-12-28,476.13,34.19,16278.88,Bihar,Online,217.5,71.33,174.62
Gujarat,663.0,62,Small,2019-07-03,9,Paneer,Mother Dairy,814.84,67.99,55400.97,7,Tetra Pack,2019-05-10,2019-05-17,646.88,70.87,45844.39,Telangana,Online,167.96,37.71,33.05
Haryana,476.56,44,Small,2022-08-01,5,Ice Cream,Dynamix Dairies,622.25,97.09,60414.25,149,Refrigerated,2022-06-26,2022-11-22,82.41,101.95,8401.7,Haryana,Retail,539.84,33.89,21.69
Kerala,844.39,119,Large,2024-02-03,1,Milk,Dodla Dairy,707.16,81.51,57640.61,147,Refrigerated,2024-01-30,2024-06-25,182.12,75.13,13682.68,Telangana,Retail,525.04,84.7,42.72
Delhi,252.38,25,Large,2024-08-23,4,Yogurt,Mother Dairy,622.83,84.56,52666.5,98,Tetra Pack,2024-07-15,2024-10-21,179.18,91.25,16350.18,Maharashtra,Online,443.65,51.7,52.72
West Bengal,580.37,116,Medium,2022-12-11,4,Yogurt,Raj,884.32,97.69,86389.22,133,Frozen,2022-11-28,2023-04-10,220.86,93.61,20674.7,Maharashtra,Online,663.46,51.77,106.26
Karnataka,832.97,111,Large,2019-09-06,7,Lassi,Mother Dairy,290.79,41.19,11977.64,87,Refrigerated,2019-08-14,2019-11-09,18.02,37.93,683.5,Chandigarh,Retail,272.77,63.24,68.48
Chandigarh,325.62,49,Large,2021-02-24,3,Cheese,Dynamix Dairies,763.09,54.41,41519.73,50,Tetra Pack,2021-02-19,2021-04-10,717.39,55.37,39721.88,Kerala,Retail,45.7,63.52,58.76
Telangana,408.15,107,Large,2022-05-09,7,Lassi,Amul,154.05,42.92,6611.83,44,Tetra Pack,2022-04-30,2022-06-13,144.66,42.69,6175.54,Jharkhand,Retail,9.39,91.44,158.09
Uttar Pradesh,280.0,85,Large,2023-09-26,5,Ice Cream,Dynamix Dairies,515.82,36.52,18837.75,16,Frozen,2023-09-16,2023-10-02,396.92,33.32,13225.37,Madhya Pradesh,Retail,118.9,58.72,60.85
Jharkhand,204.99,101,Small,2020-11-04,5,Ice Cream,Dynamix Dairies,473.32,82.1,38859.57,59,Refrigerated,2020-09-11,2020-11-09,227.61,79.7,18140.52,Madhya Pradesh,Wholesale,245.71,99.07,25.31
Rajasthan,10.4,65,Small,2022-02-22,9,Paneer,Dynamix Dairies,167.31,17.98,3008.23,135,Frozen,2022-02-15,2022-06-30,13.08,16.69,218.31,Gujarat,Wholesale,154.23,90.54,67.47
Bihar,108.96,115,Small,2019-07-25,4,Yogurt,Raj,906.08,97.36,88215.95,83,Ambient,2019-06-08,2019-08-30,537.3,90.26,48496.7,Chandigarh,Online,368.78,46.37,120.45
Rajasthan,648.95,69,Small,2019-08-11,4,Yogurt,Sudha,333.93,75.94,25358.64,77,Frozen,2019-06-12,2019-08-28,291.17,76.51,22277.42,Maharashtra,Retail,42.76,27.83,42.73
Telangana,144.48,41,Large,2022-07-14,6,Curd,Amul,827.44,40.36,33395.48,34,Refrigerated,2022-05-27,2022-06-30,169.44,40.72,6899.6,West Bengal,Retail,658.0,21.11,164.12
Madhya Pradesh,726.22,48,Small,2023-07-20,2,Butter,Dodla Dairy,556.31,90.38,50279.3,53,Ambient,2023-07-15,2023-09-06,191.45,98.05,18771.67,Bihar,Online,364.86,40.15,120.79
Haryana,525.03,56,Medium,2019-01-15,6,Curd,Amul,118.35,89.1,10544.98,138,Polythene Packet,2018-12-10,2019-04-27,104.62,96.81,10128.26,Karnataka,Online,13.73,15.87,44.45
Uttar Pradesh,142.58,43,Small,2023-05-20,1,Milk,Britannia Industries,997.75,65.66,65512.26,125,Ambient,2023-03-22,2023-07-25,643.83,61.2,39402.4,Gujarat,Online,353.92,8.17,86.61
Karnataka,279.66,51,Small,2019-05-07,6,Curd,Britannia Industries,12.41,79.81,990.44,143,Polythene Packet,2019-03-25,2019-08-15,8.59,74.52,640.13,Kerala,Retail,3.82,27.56,42.06
Karnataka,117.96,37,Large,2020-05-18,1,Milk,Passion Cheese,116.35,61.02,7099.68,103,Polythene Packet,2020-04-19,2020-07-31,92.14,59.65,5496.15,Kerala,Online,24.21,40.47,152.1
West Bengal,465.92,26,Medium,2023-11-26,9,Paneer,Raj,683.5,74.07,50626.84,42,Refrigerated,2023-11-11,2023-12-23,558.43,75.43,42122.37,Uttar Pradesh,Wholesale,125.07,66.56,141.21
Jharkhand,277.12,22,Large,2023-05-26,5,Ice Cream,Dynamix Dairies,628.68,55.44,34854.02,62,Ambient,2023-04-30,2023-07-01,446.29,57.72,25759.86,West Bengal,Retail,182.39,55.77,169.61
Bihar,335.72,68,Medium,2021-08-08,4,Yogurt,Britannia Industries,65.15,36.78,2396.22,113,Ambient,2021-06-09,2021-09-30,8.32,37.42,311.33,Tamil Nadu,Wholesale,56.83,23.71,153.4
Haryana,433.86,28,Large,2021-04-14,10,Ghee,Mother Dairy,221.92,77.66,17234.31,141,Refrigerated,2021-03-25,2021-08-13,211.78,82.37,17444.32,Tamil Nadu,Wholesale,10.14,69.57,193.59
Uttar Pradesh,522.73,71,Large,2020-12-01,9,Paneer,Dynamix Dairies,551.7,66.65,36770.81,2,Tetra Pack,2020-10-28,2020-10-30,111.19,63.78,7091.7,Tamil Nadu,Wholesale,440.51,17.3,101.06
Bihar,625.42,79,Medium,2019-01-04,6,Curd,Amul,714.56,18.54,13247.94,10,Refrigerated,2018-12-03,2018-12-13,358.06,17.92,6416.44,Karnataka,Wholesale,356.5,77.69,71.53
Madhya Pradesh,187.04,108,Large,2023-01-18,7,Lassi,Passion Cheese,801.26,59.3,47514.72,78,Refrigerated,2022-12-11,2023-02-27,706.79,63.86,45135.61,Bihar,Wholesale,94.47,61.72,193.29
Kerala,835.56,56,Small,2021-06-20,8,Buttermilk,Passion Cheese,858.34,37.55,32230.67,100,Polythene Packet,2021-06-11,2021-09-19,267.99,34.3,9192.06,Karnataka,Retail,590.35,73.71,44.99
West Bengal,428.29,77,Small,2022-11-04,10,Ghee,Mother Dairy,326.56,14.2,4637.15,82,Polythene Packet,2022-11-03,2023-01-24,324.73,13.16,4273.45,Haryana,Retail,1.83,28.51,86.21
Delhi,736.46,49,Large,2024-07-19,8,Buttermilk,Raj,362.1,10.7,3874.47,59,Refrigerated,2024-06-21,2024-08-19,167.69,10.06,1686.96,Chandigarh,Online,194.41,63.81,187.19
Rajasthan,577.18,33,Medium,2019-06-27,6,Curd,Dynamix Dairies,805.11,84.23,67814.42,56,Refrigerated,2019-05-14,2019-07-09,304.46,81.98,24959.63,Chandigarh,Online,500.65,36.72,133.26
Rajasthan,396.23,102,Large,2024-11-15,6,Curd,Dodla Dairy,207.83,17.91,3722.24,91,Frozen,2024-10-10,2025-01-09,103.6,18.22,1887.59,West Bengal,Online,104.23,12.25,74.49
Bihar,709.92,85,Small,2022-05-03,7,Lassi,Mother Dairy,677.35,24.27,16439.28,64,Polythene Packet,2022-03-10,2022-05-13,602.01,26.05,15682.36,Karnataka,Online,75.34,27.4,118.44
Delhi,769.21,104,Small,2019-02-15,3,Cheese,Passion Cheese,902.95,95.77,86475.52,48,Ambient,2019-02-02,2019-03-22,523.41,89.96,47085.96,West Bengal,Online,379.54,53.69,190.06
West Bengal,149.47,112,Small,2020-04-16,6,Curd,Britannia Industries,135.73,76.62,10399.63,16,Tetra Pack,2020-03-26,2020-04-11,84.1,76.86,6463.93,Maharashtra,Wholesale,51.63,68.67,67.59
Delhi,375.1,33,Small,2020-01-13,3,Cheese,Amul,168.9,99.67,16834.26,90,Polythene Packet,2019-11-14,2020-02-12,6.52,91.64,597.49,Kerala,Retail,162.38,51.29,98.21
Karnataka,625.14,43,Small,2019-07-21,3,Cheese,Sudha,853.92,83.22,71063.22,143,Ambient,2019-07-14,2019-12-04,245.28,83.63,20512.77,Rajasthan,Retail,608.64,51.79,161.97
Bihar,150.71,30,Large,2022-05-17,10,Ghee,Britannia Industries,430.61,50.59,21784.56,139,Frozen,2022-04-03,2022-08-20,277.72,50.59,14049.85,Jharkhand,Retail,152.89,38.05,161.28
Rajasthan,515.75,94,Medium,2020-10-28,2,Butter,Amul,327.05,88.82,29048.58,33,Frozen,2020-10-27,2020-11-29,78.26,81.64,6389.15,Bihar,Online,248.79,29.3,102.26
Chandigarh,727.08,48,Small,2022-01-16,6,Curd,Mother Dairy,683.07,55.24,37732.79,91,Polythene Packet,2021-12-08,2022-03-09,629.98,60.66,38214.59,Jharkhand,Wholesale,53.09,53.28,134.53
Karnataka,631.34,45,Small,2019-03-04,8,Buttermilk,Dynamix Dairies,329.56,14.81,4880.78,61,Polythene Packet,2019-01-08,2019-03-10,229.14,14.21,3256.08,Rajasthan,Online,100.42,30.24,155.68
Gujarat,512.75,48,Small,2021-11-06,6,Curd,Dynamix Dairies,715.94,20.07,14368.92,84,Polythene Packet,2021-09-29,2021-12-22,387.72,18.78,7281.38,Haryana,Wholesale,328.22,85.61,174.13
Jharkhand,349.46,44,Small,2021-01-01,10,Ghee,Passion Cheese,537.03,48.27,25922.44,48,Frozen,2020-12-21,2021-02-07,158.71,44.07,6994.35,Delhi,Retail,378.32,83.3,85.16
Haryana,670.52,33,Large,2023-03-23,8,Buttermilk,Passion Cheese,737.6,62.26,45922.98,42,Ambient,2023-02-08,2023-03-22,688.08,57.3,39426.98,Kerala,Retail,49.52,86.82,183.79
Delhi,470.33,70,Large,2023-04-18,7,Lassi,Britannia Industries,857.28,27.24,23352.31,68,Ambient,2023-04-10,2023-06-17,606.26,26.79,16241.71,Tamil Nadu,Wholesale,251.02,75.16,83.31
Chandigarh,655.0,120,Small,2020-03-04,7,Lassi,Britannia Industries,773.2,63.39,49013.15,17,Tetra Pack,2020-01-21,2020-02-07,642.23,67.68,43466.13,Karnataka,Wholesale,130.97,94.77,105.1
Madhya Pradesh,728.02,72,Small,2020-06-05,1,Milk,Mother Dairy,533.85,52.04,27781.55,86,Refrigerated,2020-05-15,2020-08-09,167.4,50.75,8495.55,Tamil Nadu,Retail,366.45,81.07,90.3
Madhya Pradesh,58.31,63,Small,2022-05-08,7,Lassi,Mother Dairy,850.31,17.37,14769.88,64,Polythene Packet,2022-05-07,2022-07-10,338.97,18.76,6359.08,Bihar,Retail,511.34,57.06,97.24
Chandigarh,103.19,54,Large,2022-03-15,5,Ice Cream,Passion Cheese,971.63,31.05,30169.11,139,Refrigerated,2022-01-24,2022-06-12,753.07,30.27,22795.43,Madhya Pradesh,Wholesale,218.56,59.4,65.28
Karnataka,432.05,115,Large,2022-06-28,2,Butter,Mother Dairy,130.71,79.75,10424.12,143,Tetra Pack,2022-06-02,2022-10-23,47.49,77.98,3703.27,Uttar Pradesh,Retail,83.22,71.87,167.48
Telangana,348.26,120,Large,2021-11-03,9,Paneer,Dodla Dairy,130.53,80.79,10545.52,62,Tetra Pack,2021-09-25,2021-11-26,89.16,77.37,6898.31,Haryana,Wholesale,41.37,56.34,181.94
Rajasthan,485.07,56,Medium,2020-08-02,5,Ice Cream,Amul,69.76,96.63,6740.91,36,Ambient,2020-06-16,2020-07-22,37.83,97.13,3674.43,Delhi,Wholesale,31.93,94.31,54.4
Haryana,813.64,39,Small,2023-09-08,9,Paneer,Mother Dairy,163.12,67.81,11061.17,33,Polythene Packet,2023-07-22,2023-08-24,117.7,73.62,8665.07,Gujarat,Online,45.42,51.53,166.26
Karnataka,606.99,111,Medium,2021-06-02,6,Curd,Britannia Industries,509.71,85.12,43386.52,102,Refrigerated,2021-04-15,2021-07-26,348.75,85.33,29758.84,Haryana,Retail,160.96,46.46,162.39
Karnataka,121.55,81,Small,2024-10-28,7,Lassi,Sudha,869.91,48.19,41920.96,30,Tetra Pack,2024-10-12,2024-11-11,59.86,45.53,2725.43,Karnataka,Wholesale,810.05,53.91,109.38
Karnataka,752.5,90,Medium,2023-11-02,3,Cheese,Dynamix Dairies,15.28,94.77,1448.09,70,Tetra Pack,2023-10-31,2024-01-09,3.91,97.05,379.47,Tamil Nadu,Retail,11.37,73.57,52.31
